,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.004539299989119172,28.0,50.0,50.0,0.1,500
1,1,0.020606999984011054,15.0,102.0,50.0,0.1,500
2,2,0.02605399998719804,15.0,153.0,50.0,0.1,500
3,3,0.03148829998099245,14.0,205.0,50.0,0.1,500
4,4,0.03682509998907335,14.0,256.0,50.0,0.1,500
5,5,0.04221689997939393,14.0,307.0,50.0,0.1,500
6,6,0.04763059999095276,12.0,359.0,50.0,0.1,500
7,7,0.05303129999083467,12.0,410.0,50.0,0.1,500
8,8,0.058512199990218505,12.0,461.0,50.0,0.1,500
9,9,0.06399959998088889,11.0,513.0,50.0,0.1,500
10,10,0.06941430000006221,11.0,564.0,50.0,0.1,500
11,11,0.07475239998893812,11.0,615.0,50.0,0.1,500
12,12,0.08021389998611994,11.0,666.0,50.0,0.1,500
13,13,0.08564259999548085,10.0,718.0,50.0,0.1,500
14,14,0.09116919999360107,9.0,770.0,50.0,0.1,500
15,15,0.09662409999873489,7.0,822.0,50.0,0.1,500
16,16,0.10215519997291267,7.0,873.0,50.0,0.1,500
17,17,0.10754859997541644,7.0,924.0,50.0,0.1,500
18,18,0.11291929997969419,7.0,975.0,50.0,0.1,500
19,19,0.11831909997272305,7.0,1026.0,50.0,0.1,500
20,20,0.1236901999800466,7.0,1077.0,50.0,0.1,500
21,21,0.12917379999998957,6.0,1129.0,50.0,0.1,500
22,22,0.1345984999788925,6.0,1180.0,50.0,0.1,500
23,23,0.14008389998343773,5.0,1232.0,50.0,0.1,500
24,24,0.14550729998154566,5.0,1283.0,50.0,0.1,500
25,25,0.15093189998879097,5.0,1334.0,50.0,0.1,500
26,26,0.15628039999864995,5.0,1385.0,50.0,0.1,500
27,27,0.1617223999928683,5.0,1436.0,50.0,0.1,500
28,28,0.16721839999081567,5.0,1487.0,50.0,0.1,500
29,29,0.17259759997250512,5.0,1538.0,50.0,0.1,500
30,30,0.1780529999814462,5.0,1589.0,50.0,0.1,500
31,31,0.18382499998551793,4.0,1641.0,50.0,0.1,500
32,32,0.18946659998618998,4.0,1692.0,50.0,0.1,500
33,33,0.19509759999345988,4.0,1743.0,50.0,0.1,500
34,34,0.20080289998441003,4.0,1794.0,50.0,0.1,500
35,35,0.20650989998830482,4.0,1845.0,50.0,0.1,500
36,36,0.21221519997925498,3.0,1897.0,50.0,0.1,500
37,37,0.2178391999914311,3.0,1948.0,50.0,0.1,500
38,38,0.2234732999932021,3.0,1999.0,50.0,0.1,500
39,39,0.22915589998592623,2.0,2051.0,50.0,0.1,500
40,40,0.23483429997577332,2.0,2102.0,50.0,0.1,500
41,41,0.2404328999982681,2.0,2153.0,50.0,0.1,500
42,42,0.24610079999547452,2.0,2204.0,50.0,0.1,500
43,43,0.25169849998201244,2.0,2255.0,50.0,0.1,500
44,44,0.2573007999744732,2.0,2306.0,50.0,0.1,500
45,45,0.2626266999868676,2.0,2357.0,50.0,0.1,500
46,46,0.2679533999762498,2.0,2408.0,50.0,0.1,500
47,47,0.2732786999840755,2.0,2459.0,50.0,0.1,500
48,48,0.2786712999804877,2.0,2510.0,50.0,0.1,500
49,49,0.2840532999834977,2.0,2561.0,50.0,0.1,500
50,50,0.28941239998675883,2.0,2612.0,50.0,0.1,500
51,51,0.29952689999481663,2.0,2663.0,50.0,0.1,500
52,52,0.30505869997432455,2.0,2714.0,50.0,0.1,500
53,53,0.3105376999883447,2.0,2765.0,50.0,0.1,500
54,54,0.3160460999934003,2.0,2816.0,50.0,0.1,500
55,55,0.321493899973575,2.0,2867.0,50.0,0.1,500
56,56,0.3269647999841254,1.0,2919.0,50.0,0.1,500
57,57,0.33231859997613356,1.0,2970.0,50.0,0.1,500
58,58,0.3376916999986861,1.0,3021.0,50.0,0.1,500
59,59,0.3430472999752965,1.0,3072.0,50.0,0.1,500
60,60,0.34838939999463037,1.0,3123.0,50.0,0.1,500
61,61,0.35374129997217096,1.0,3174.0,50.0,0.1,500
62,62,0.359175999998115,1.0,3225.0,50.0,0.1,500
63,63,0.3644874999881722,1.0,3276.0,50.0,0.1,500
64,64,0.3698932999977842,1.0,3327.0,50.0,0.1,500
65,65,0.3752377999771852,1.0,3378.0,50.0,0.1,500
66,66,0.3806400999892503,1.0,3429.0,50.0,0.1,500
67,67,0.38605689999531023,1.0,3480.0,50.0,0.1,500
68,68,0.391468799993163,1.0,3531.0,50.0,0.1,500
69,69,0.39697219998924993,1.0,3582.0,50.0,0.1,500
70,70,0.40228369997930713,1.0,3633.0,50.0,0.1,500
71,71,0.40772109999670647,1.0,3684.0,50.0,0.1,500
72,72,0.413051399984397,1.0,3735.0,50.0,0.1,500
73,73,0.4183834999857936,1.0,3786.0,50.0,0.1,500
74,74,0.423786499974085,1.0,3837.0,50.0,0.1,500
75,75,0.4292659999919124,1.0,3888.0,50.0,0.1,500
76,76,0.43468639999628067,1.0,3939.0,50.0,0.1,500
77,77,0.4400790999934543,1.0,3990.0,50.0,0.1,500
78,78,0.44549679997726344,1.0,4041.0,50.0,0.1,500
