,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.03536149999990812,18.0,250.0,250.0,0.1,2500
1,1,0.08375139999998282,10.0,502.0,250.0,0.1,2500
2,2,0.1247656000000461,10.0,753.0,250.0,0.1,2500
3,3,0.16674409999995987,10.0,1004.0,250.0,0.1,2500
4,4,0.20824760000004972,6.0,1256.0,250.0,0.1,2500
5,5,0.25029429999995045,6.0,1507.0,250.0,0.1,2500
6,6,0.2931559000001016,6.0,1758.0,250.0,0.1,2500
7,7,0.33454120000010334,6.0,2009.0,250.0,0.1,2500
8,8,0.3775087999999869,6.0,2260.0,250.0,0.1,2500
9,9,0.42038370000000214,6.0,2511.0,250.0,0.1,2500
10,10,0.4629433000000063,6.0,2762.0,250.0,0.1,2500
11,11,0.50511060000008,6.0,3013.0,250.0,0.1,2500
12,12,0.5475083000001177,6.0,3264.0,250.0,0.1,2500
13,13,0.5909504000001107,6.0,3515.0,250.0,0.1,2500
14,14,0.6337091000000328,6.0,3766.0,250.0,0.1,2500
15,15,0.6768809000000147,6.0,4017.0,250.0,0.1,2500
16,16,0.7201634999998987,6.0,4268.0,250.0,0.1,2500
17,17,0.763080200000104,5.0,4520.0,250.0,0.1,2500
18,18,0.8055471000000125,5.0,4771.0,250.0,0.1,2500
19,19,0.8470727999999781,5.0,5022.0,250.0,0.1,2500
20,20,0.890117200000077,5.0,5273.0,250.0,0.1,2500
21,21,0.9331214000001182,5.0,5524.0,250.0,0.1,2500
22,22,0.976508499999909,5.0,5775.0,250.0,0.1,2500
23,23,1.019914100000051,5.0,6026.0,250.0,0.1,2500
24,24,1.062181100000089,5.0,6277.0,250.0,0.1,2500
25,25,1.105091800000082,4.0,6529.0,250.0,0.1,2500
26,26,1.1495563999999376,4.0,6780.0,250.0,0.1,2500
27,27,1.1923228999999083,4.0,7031.0,250.0,0.1,2500
28,28,1.2337113000000954,4.0,7282.0,250.0,0.1,2500
29,29,1.2764581999999791,3.0,7534.0,250.0,0.1,2500
30,30,1.3188723999999183,3.0,7785.0,250.0,0.1,2500
31,31,1.3636570999999549,3.0,8036.0,250.0,0.1,2500
32,32,1.405082499999935,3.0,8287.0,250.0,0.1,2500
33,33,1.4477696999999807,3.0,8538.0,250.0,0.1,2500
34,34,1.4900139999999737,2.0,8790.0,250.0,0.1,2500
35,35,1.532431600000109,1.0,9042.0,250.0,0.1,2500
36,36,1.574210100000073,0.0,9294.0,250.0,0.1,2500
37,0,0.03536149999990812,18.0,250.0,250.0,0.3,2500
