,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.00013990000002195302,534.0,0.0,1,5000,0
1,1,0.006366599999978462,534.0,1.0,1,5000,0
2,2,0.006421400000022004,548.0,3.0,1,5000,0
3,3,0.00646900000003825,554.0,5.0,1,5000,0
4,4,0.0065020000000686196,554.0,6.0,1,5000,0
5,5,0.006547700000055556,626.0,8.0,1,5000,0
6,6,0.006582100000059654,626.0,9.0,1,5000,0
7,7,0.006628500000033455,636.0,11.0,1,5000,0
8,8,0.006663500000058775,636.0,12.0,1,5000,0
9,9,0.006698900000060348,636.0,13.0,1,5000,0
10,10,0.00673380000000634,636.0,14.0,1,5000,0
11,11,0.006769400000052883,636.0,15.0,1,5000,0
12,12,0.006803800000056981,636.0,16.0,1,5000,0
13,13,0.006838200000061079,636.0,17.0,1,5000,0
14,14,0.00687520000008135,636.0,18.0,1,5000,0
15,15,0.006912900000088484,636.0,19.0,1,5000,0
16,16,0.006950599999981932,636.0,20.0,1,5000,0
17,17,0.006989800000042123,636.0,21.0,1,5000,0
18,1,0.006366599999978462,663.0,23.0,1,5000,1
19,2,0.006421400000022004,663.0,24.0,1,5000,1
20,3,0.00646900000003825,699.0,26.0,1,5000,1
21,4,0.0065020000000686196,707.0,28.0,1,5000,1
22,5,0.006547700000055556,713.0,30.0,1,5000,1
23,6,0.006582100000059654,716.0,32.0,1,5000,1
24,7,0.006628500000033455,720.0,34.0,1,5000,1
25,8,0.006663500000058775,720.0,35.0,1,5000,1
26,9,0.006698900000060348,720.0,36.0,1,5000,1
27,10,0.00673380000000634,720.0,37.0,1,5000,1
28,11,0.006769400000052883,720.0,38.0,1,5000,1
29,12,0.006803800000056981,720.0,39.0,1,5000,1
30,13,0.006838200000061079,720.0,40.0,1,5000,1
31,14,0.00687520000008135,720.0,41.0,1,5000,1
32,15,0.006912900000088484,720.0,42.0,1,5000,1
33,16,0.006950599999981932,720.0,43.0,1,5000,1
34,17,0.006989800000042123,724.0,45.0,1,5000,1
35,18,0.010928600000056576,724.0,46.0,1,5000,1
36,19,0.016987700000072437,724.0,47.0,1,5000,1
37,20,0.01706550000005791,724.0,48.0,1,5000,1
38,21,0.017190500000083375,726.0,50.0,1,5000,1
39,22,0.017323200000078032,726.0,51.0,1,5000,1
40,23,0.01741390000006504,726.0,52.0,1,5000,1
41,24,0.017499600000064675,728.0,54.0,1,5000,1
42,25,0.017584900000088055,728.0,55.0,1,5000,1
43,26,0.01765330000000631,728.0,56.0,1,5000,1
44,27,0.017723600000067563,728.0,57.0,1,5000,1
45,28,0.01779080000005706,728.0,58.0,1,5000,1
46,29,0.017855400000030386,728.0,59.0,1,5000,1
47,30,0.017925100000070415,728.0,60.0,1,5000,1
48,31,0.017994900000076086,728.0,61.0,1,5000,1
49,32,0.01806499999997868,736.0,63.0,1,5000,1
50,33,0.01814430000001721,781.0,65.0,1,5000,1
51,34,0.01822540000000572,781.0,66.0,1,5000,1
52,35,0.018317700000011428,781.0,67.0,1,5000,1
53,36,0.018397300000060568,781.0,68.0,1,5000,1
54,37,0.01847140000006675,781.0,69.0,1,5000,1
55,38,0.018545900000049187,781.0,70.0,1,5000,1
56,39,0.018637900000044283,781.0,71.0,1,5000,1
57,40,0.018714200000090386,781.0,72.0,1,5000,1
58,41,0.018790299999977833,781.0,73.0,1,5000,1
59,42,0.01888450000001285,781.0,74.0,1,5000,1
60,43,0.018963299999995797,781.0,75.0,1,5000,1
61,0,0.00013990000002195302,534.0,0.0,10,5000,0
62,1,0.006366599999978462,534.0,1.0,10,5000,0
63,2,0.006421400000022004,548.0,3.0,10,5000,0
64,3,0.00646900000003825,554.0,5.0,10,5000,0
65,4,0.0065020000000686196,554.0,6.0,10,5000,0
66,5,0.006547700000055556,626.0,8.0,10,5000,0
67,6,0.006582100000059654,626.0,9.0,10,5000,0
68,7,0.006628500000033455,636.0,11.0,10,5000,0
69,8,0.006663500000058775,636.0,12.0,10,5000,0
70,9,0.006698900000060348,636.0,13.0,10,5000,0
71,10,0.00673380000000634,636.0,14.0,10,5000,0
72,11,0.006769400000052883,636.0,15.0,10,5000,0
73,12,0.006803800000056981,636.0,16.0,10,5000,0
74,13,0.006838200000061079,636.0,17.0,10,5000,0
75,14,0.00687520000008135,636.0,18.0,10,5000,0
76,15,0.006912900000088484,636.0,19.0,10,5000,0
77,16,0.006950599999981932,636.0,20.0,10,5000,0
78,17,0.006989800000042123,636.0,21.0,10,5000,0
79,1,0.006366599999978462,663.0,23.0,10,5000,1
80,2,0.006421400000022004,663.0,24.0,10,5000,1
81,3,0.00646900000003825,699.0,26.0,10,5000,1
82,4,0.0065020000000686196,707.0,28.0,10,5000,1
83,5,0.006547700000055556,713.0,30.0,10,5000,1
84,6,0.006582100000059654,716.0,32.0,10,5000,1
85,7,0.006628500000033455,720.0,34.0,10,5000,1
86,8,0.006663500000058775,720.0,35.0,10,5000,1
87,9,0.006698900000060348,720.0,36.0,10,5000,1
88,10,0.00673380000000634,720.0,37.0,10,5000,1
89,11,0.006769400000052883,720.0,38.0,10,5000,1
90,12,0.006803800000056981,720.0,39.0,10,5000,1
91,13,0.006838200000061079,720.0,40.0,10,5000,1
92,14,0.00687520000008135,720.0,41.0,10,5000,1
93,15,0.006912900000088484,720.0,42.0,10,5000,1
94,16,0.006950599999981932,720.0,43.0,10,5000,1
95,17,0.006989800000042123,724.0,45.0,10,5000,1
96,18,0.010928600000056576,724.0,46.0,10,5000,1
97,19,0.016987700000072437,724.0,47.0,10,5000,1
98,20,0.01706550000005791,724.0,48.0,10,5000,1
99,21,0.017190500000083375,726.0,50.0,10,5000,1
100,22,0.017323200000078032,726.0,51.0,10,5000,1
101,23,0.01741390000006504,726.0,52.0,10,5000,1
102,24,0.017499600000064675,728.0,54.0,10,5000,1
103,25,0.017584900000088055,728.0,55.0,10,5000,1
104,26,0.01765330000000631,728.0,56.0,10,5000,1
105,27,0.017723600000067563,728.0,57.0,10,5000,1
106,28,0.01779080000005706,728.0,58.0,10,5000,1
107,29,0.017855400000030386,728.0,59.0,10,5000,1
108,30,0.017925100000070415,728.0,60.0,10,5000,1
109,31,0.017994900000076086,728.0,61.0,10,5000,1
110,32,0.01806499999997868,736.0,63.0,10,5000,1
111,33,0.01814430000001721,781.0,65.0,10,5000,1
112,34,0.01822540000000572,781.0,66.0,10,5000,1
113,35,0.018317700000011428,781.0,67.0,10,5000,1
114,36,0.018397300000060568,781.0,68.0,10,5000,1
115,37,0.01847140000006675,781.0,69.0,10,5000,1
116,38,0.018545900000049187,781.0,70.0,10,5000,1
117,39,0.018637900000044283,781.0,71.0,10,5000,1
118,40,0.018714200000090386,781.0,72.0,10,5000,1
119,41,0.018790299999977833,781.0,73.0,10,5000,1
120,42,0.01888450000001285,781.0,74.0,10,5000,1
121,43,0.018963299999995797,781.0,75.0,10,5000,1
122,1,0.006366599999978462,323.0,77.0,10,5000,2
123,2,0.006421400000022004,323.0,78.0,10,5000,2
124,3,0.00646900000003825,327.0,80.0,10,5000,2
125,4,0.0065020000000686196,339.0,82.0,10,5000,2
126,5,0.006547700000055556,339.0,83.0,10,5000,2
127,6,0.006582100000059654,340.0,85.0,10,5000,2
128,7,0.006628500000033455,340.0,86.0,10,5000,2
129,8,0.006663500000058775,349.0,88.0,10,5000,2
130,9,0.006698900000060348,349.0,89.0,10,5000,2
131,10,0.00673380000000634,349.0,90.0,10,5000,2
132,11,0.006769400000052883,367.0,92.0,10,5000,2
133,12,0.006803800000056981,367.0,93.0,10,5000,2
134,13,0.006838200000061079,421.0,95.0,10,5000,2
135,14,0.00687520000008135,442.0,97.0,10,5000,2
136,15,0.006912900000088484,514.0,99.0,10,5000,2
137,16,0.006950599999981932,514.0,100.0,10,5000,2
138,17,0.006989800000042123,514.0,101.0,10,5000,2
139,18,0.010928600000056576,544.0,103.0,10,5000,2
140,19,0.016987700000072437,544.0,104.0,10,5000,2
141,20,0.01706550000005791,544.0,105.0,10,5000,2
142,21,0.017190500000083375,549.0,107.0,10,5000,2
143,22,0.017323200000078032,552.0,109.0,10,5000,2
144,23,0.01741390000006504,555.0,111.0,10,5000,2
145,24,0.017499600000064675,561.0,113.0,10,5000,2
146,25,0.017584900000088055,561.0,114.0,10,5000,2
147,26,0.01765330000000631,597.0,116.0,10,5000,2
148,27,0.017723600000067563,597.0,117.0,10,5000,2
149,28,0.01779080000005706,597.0,118.0,10,5000,2
150,29,0.017855400000030386,597.0,119.0,10,5000,2
151,30,0.017925100000070415,677.0,121.0,10,5000,2
152,31,0.017994900000076086,677.0,122.0,10,5000,2
153,32,0.01806499999997868,697.0,124.0,10,5000,2
154,33,0.01814430000001721,697.0,125.0,10,5000,2
155,34,0.01822540000000572,697.0,126.0,10,5000,2
156,35,0.018317700000011428,697.0,127.0,10,5000,2
157,36,0.018397300000060568,697.0,128.0,10,5000,2
158,37,0.01847140000006675,697.0,129.0,10,5000,2
159,38,0.018545900000049187,697.0,130.0,10,5000,2
160,39,0.018637900000044283,724.0,132.0,10,5000,2
161,40,0.018714200000090386,724.0,133.0,10,5000,2
162,41,0.018790299999977833,724.0,134.0,10,5000,2
163,42,0.01888450000001285,724.0,135.0,10,5000,2
164,43,0.018963299999995797,724.0,136.0,10,5000,2
165,44,0.0190412000000606,733.0,138.0,10,5000,2
166,45,0.019114100000024337,733.0,139.0,10,5000,2
167,46,0.01920010000003458,733.0,140.0,10,5000,2
168,47,0.019280800000046838,733.0,141.0,10,5000,2
169,48,0.01935680000008233,733.0,142.0,10,5000,2
170,49,0.019437200000083976,733.0,143.0,10,5000,2
171,50,0.0195346000000427,733.0,144.0,10,5000,2
172,51,0.01963269999998829,733.0,145.0,10,5000,2
173,52,0.019713000000024294,733.0,146.0,10,5000,2
174,53,0.01979340000002594,733.0,147.0,10,5000,2
175,54,0.019873800000027586,733.0,148.0,10,5000,2
176,1,0.006366599999978462,491.0,150.0,10,5000,3
177,2,0.006421400000022004,491.0,151.0,10,5000,3
