,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
0,0.0,177.0,0,9.960000170394778e-05,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",1,5000,0
1,50.0,197.0,53,0.007451600002241321,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",1,5000,0
2,200.0,197.0,114,0.016836299997521564,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",1,5000,0
3,500.0,197.0,114,0.016836299997521564,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",1,5000,0
4,5000.0,197.0,114,0.016836299997521564,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",1,5000,0
5,0.0,92.0,114,0.021183200005907565,"[2, 0, 4, 3, 1, 2, 0, 0, 3, 2]",1,5000,1
6,50.0,158.0,169,0.02984830000787042,"[2, 0, 4, 3, 1, 4, 4, 4, 3, 4]",1,5000,1
7,200.0,166.0,276,0.0487518000009004,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",1,5000,1
8,500.0,166.0,276,0.0487518000009004,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",1,5000,1
9,5000.0,166.0,276,0.0487518000009004,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",1,5000,1
10,0.0,177.0,0,7.769999501761049e-05,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",10,5000,0
11,50.0,197.0,53,0.006790700004785322,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",10,5000,0
12,200.0,197.0,114,0.015849699993850663,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",10,5000,0
13,500.0,197.0,114,0.015849699993850663,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",10,5000,0
14,5000.0,197.0,114,0.015849699993850663,"[3, 4, 2, 4, 4, 2, 4, 3, 2, 4]",10,5000,0
15,0.0,92.0,114,0.021128899999894202,"[2, 0, 4, 3, 1, 2, 0, 0, 3, 2]",10,5000,1
16,50.0,158.0,169,0.031036799991852604,"[2, 0, 4, 3, 1, 4, 4, 4, 3, 4]",10,5000,1
17,200.0,166.0,276,0.051764499992714263,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",10,5000,1
18,500.0,166.0,276,0.051764499992714263,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",10,5000,1
19,5000.0,166.0,276,0.051764499992714263,"[2, 0, 4, 3, 2, 4, 4, 4, 3, 4]",10,5000,1
