,Iteration,Time,Fitness,FEvals,Temperature,max_iters
0,0,9.890000001178123e-05,534.0,0.0,1,10000
1,1,0.007867900000064765,534.0,1.0,1,10000
2,2,0.007927500000050713,540.0,3.0,1,10000
3,3,0.00796900000000278,540.0,4.0,1,10000
4,4,0.008008000000018,540.0,5.0,1,10000
5,5,0.008059600000024147,539.0,7.0,1,10000
6,6,0.008100100000092425,539.0,8.0,1,10000
7,7,0.008149799999955576,545.0,10.0,1,10000
8,8,0.008201300000109768,551.0,12.0,1,10000
9,9,0.008252900000115915,558.0,14.0,1,10000
10,10,0.008294700000078592,558.0,15.0,1,10000
11,11,0.008336900000131209,558.0,16.0,1,10000
12,12,0.008388700000068638,570.0,18.0,1,10000
13,13,0.008431900000005044,570.0,19.0,1,10000
14,14,0.008475200000020777,570.0,20.0,1,10000
15,15,0.008614000000079614,570.0,21.0,1,10000
16,16,0.00869420000003629,570.0,22.0,1,10000
17,17,0.008741900000131864,570.0,23.0,1,10000
18,18,0.00878499999998894,570.0,24.0,1,10000
19,19,0.008830100000068342,570.0,25.0,1,10000
20,20,0.008873300000004747,570.0,26.0,1,10000
21,21,0.008916799999951763,570.0,27.0,1,10000
22,22,0.008962399999973059,570.0,28.0,1,10000
23,23,0.0090132000000267,570.0,29.0,1,10000
24,24,0.009064300000090952,570.0,30.0,1,10000
25,25,0.009116299999959665,570.0,31.0,1,10000
26,26,0.009166900000082023,570.0,32.0,1,10000
27,27,0.009215900000071997,570.0,33.0,1,10000
28,28,0.009265599999935148,570.0,34.0,1,10000
29,29,0.009315600000036284,570.0,35.0,1,10000
30,30,0.009376800000154617,615.0,37.0,1,10000
31,31,0.009427599999980885,615.0,38.0,1,10000
32,32,0.00947889999997642,615.0,39.0,1,10000
33,33,0.009554900000011912,620.0,41.0,1,10000
34,34,0.009614499999997861,620.0,42.0,1,10000
35,35,0.00966510000012022,620.0,43.0,1,10000
36,36,0.009717500000078871,620.0,44.0,1,10000
37,37,0.009770500000058746,620.0,45.0,1,10000
38,38,0.009833699999944656,620.0,46.0,1,10000
39,39,0.009915399999954388,620.0,47.0,1,10000
40,40,0.009977400000025227,620.0,48.0,1,10000
41,41,0.010033700000121826,620.0,49.0,1,10000
42,42,0.010089399999969828,620.0,50.0,1,10000
43,43,0.010149400000045716,620.0,51.0,1,10000
44,44,0.010218900000154463,620.0,52.0,1,10000
45,45,0.01027780000003986,620.0,53.0,1,10000
46,46,0.01033770000003642,620.0,54.0,1,10000
47,47,0.010412900000119407,620.0,55.0,1,10000
48,48,0.010475199999973484,620.0,56.0,1,10000
49,49,0.01054840000006152,620.0,57.0,1,10000
50,50,0.010610100000121747,620.0,58.0,1,10000
51,51,0.010670399999980873,620.0,59.0,1,10000
52,52,0.01073010000004615,620.0,60.0,1,10000
53,53,0.010790799999995215,620.0,61.0,1,10000
54,54,0.010852099999965503,620.0,62.0,1,10000
55,55,0.010913900000105059,620.0,63.0,1,10000
56,56,0.010975899999948524,620.0,64.0,1,10000
57,57,0.011041599999998652,620.0,65.0,1,10000
58,58,0.011115799999970477,620.0,66.0,1,10000
59,59,0.011180500000136817,620.0,67.0,1,10000
60,60,0.011244600000054561,620.0,68.0,1,10000
61,61,0.011307600000009188,620.0,69.0,1,10000
62,62,0.011372599999958766,620.0,70.0,1,10000
63,63,0.011436900000035166,620.0,71.0,1,10000
64,64,0.011512700000139375,620.0,72.0,1,10000
65,65,0.011585900000000038,620.0,73.0,1,10000
66,66,0.011655600000040067,620.0,74.0,1,10000
67,67,0.011724100000037652,620.0,75.0,1,10000
