,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0.0,177.0,0,9.610000006432529e-05,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",geometric,1,0.99,0.001,0.9999990341631902,1,10000,
1,50.0,188.0,52,0.008384299999988798,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",geometric,1,0.99,0.001,0.9999157385193016,1,10000,
2,200.0,188.0,202,0.029250199999978577,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",geometric,1,0.99,0.001,0.9997060688724386,1,10000,
3,500.0,188.0,502,0.09851350000008097,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",geometric,1,0.99,0.001,0.9990103962200008,1,10000,
4,10000.0,188.0,510,0.1083792000001722,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",geometric,1,0.99,0.001,0.9989113456550369,1,10000,
5,0.0,177.0,0,8.640000010018412e-05,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",exponential,1,,0.001,0.9999995680000928,1,10000,0.005
6,50.0,188.0,52,0.008685499999955937,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",exponential,1,,0.001,0.9999565734429604,1,10000,0.005
7,200.0,188.0,202,0.03025840000009339,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",exponential,1,,0.001,0.9998487194440571,1,10000,0.005
8,500.0,188.0,502,0.10234560000003512,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",exponential,1,,0.001,0.9994884029104417,1,10000,0.005
9,10000.0,188.0,510,0.11430279999990489,"[3, 4, 4, 4, 4, 2, 2, 2, 2, 4]",exponential,1,,0.001,0.9994286492830189,1,10000,0.005
10,0.0,177.0,0,8.53000001370674e-05,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",geometric,10,0.99,0.001,9.999991427067178,10,10000,
11,50.0,178.0,75,0.01592120000009345,"[4, 4, 4, 1, 4, 3, 2, 3, 1, 4]",geometric,10,0.99,0.001,9.998399993942707,10,10000,
12,200.0,196.0,248,0.05265340000005381,"[4, 4, 2, 3, 4, 4, 4, 2, 1, 4]",geometric,10,0.99,0.001,9.994709556395158,10,10000,
13,500.0,205.0,551,0.13521860000014385,"[4, 4, 3, 4, 4, 3, 4, 2, 1, 4]",geometric,10,0.99,0.001,9.986419306682839,10,10000,
14,10000.0,205.0,813,0.24152879999996912,"[4, 4, 3, 4, 4, 3, 4, 2, 1, 4]",geometric,10,0.99,0.001,9.975754983051718,10,10000,
15,0.0,177.0,0,0.00011309999990771757,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",exponential,10,,0.001,9.999994345001603,10,10000,0.005
16,50.0,178.0,75,0.016307299999880343,"[4, 4, 4, 1, 4, 3, 2, 3, 1, 4]",exponential,10,,0.001,9.999184668240106,10,10000,0.005
17,200.0,164.0,265,0.046001199999864184,"[4, 2, 0, 2, 4, 4, 1, 4, 2, 4]",exponential,10,,0.001,9.997700204493528,10,10000,0.005
18,500.0,200.0,587,0.12713299999995797,"[4, 4, 1, 3, 4, 4, 4, 4, 0, 4]",exponential,10,,0.001,9.993645369921943,10,10000,0.005
19,10000.0,200.0,1076,0.3518887000000177,"[4, 4, 1, 3, 4, 4, 4, 4, 0, 4]",exponential,10,,0.001,9.982421034133463,10,10000,0.005
20,0.0,177.0,0,0.00015419999999721767,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",geometric,25,0.99,0.001,24.999961255985305,25,10000,
21,50.0,145.0,88,0.024886100000003353,"[4, 0, 4, 1, 3, 2, 2, 3, 4, 3]",geometric,25,0.99,0.001,24.99374794031827,25,10000,
22,200.0,190.0,300,0.0645528000000013,"[4, 3, 0, 4, 4, 4, 4, 1, 3, 4]",geometric,25,0.99,0.001,24.983785827255403,25,10000,
23,500.0,203.0,612,0.16132789999983288,"[4, 4, 1, 4, 4, 4, 4, 3, 0, 4]",geometric,25,0.99,0.001,24.959497854515458,25,10000,
24,10000.0,203.0,871,0.3010223999999653,"[4, 4, 1, 4, 4, 4, 4, 3, 0, 4]",geometric,25,0.99,0.001,24.924479890488367,25,10000,
25,0.0,177.0,0,0.00010689999999158317,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4]",exponential,25,,0.001,24.99998663750357,25,10000,0.005
26,50.0,117.0,90,0.026678899999978967,"[4, 0, 4, 1, 3, 2, 0, 3, 4, 1]",exponential,25,,0.001,24.99666535991627,25,10000,0.005
27,200.0,144.0,324,0.0800371999998788,"[4, 3, 0, 4, 2, 4, 3, 1, 3, 1]",exponential,25,,0.001,24.989997351593434,25,10000,0.005
28,500.0,199.0,673,0.16602639999996427,"[4, 4, 0, 4, 4, 2, 4, 3, 3, 4]",exponential,25,,0.001,24.97925531160613,25,10000,0.005
29,10000.0,197.0,1342,0.49544379999997545,"[4, 3, 0, 4, 4, 3, 4, 3, 3, 4]",exponential,25,,0.001,24.938146169373315,25,10000,0.005
