,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0,28.0,0,0.00018560001626610756,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",geometric,1,0.99,0.001,0.9999981346592418,1,10000,
1,10000,0.0,494,0.08401580000645481,"[4, 1, 2, 2, 2, 1, 2, 3, 2, 0, 3, 0, 0, 4, 3, 4, 1, 1, 2, 4, 3, 3, 3, 0, 0, 4, 1, 1, 3, 1, 4, 3, 2, 0, 3, 0, 0, 0, 3, 2, 4, 1, 3, 2, 1, 0, 0, 0, 4, 1]",geometric,1,0.99,0.001,0.9991559693873248,1,10000,
2,0,28.0,0,0.00024360002134926617,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",exponential,1,,0.001,0.999998782000635,1,10000,0.005
3,10000,0.0,635,0.11460749999969266,"[4, 0, 3, 2, 4, 0, 0, 2, 3, 1, 2, 3, 4, 2, 1, 2, 1, 1, 4, 0, 2, 2, 2, 0, 1, 2, 2, 0, 3, 0, 1, 2, 3, 3, 2, 1, 1, 3, 1, 3, 3, 1, 4, 1, 4, 4, 0, 0, 4, 4]",exponential,1,,0.001,0.9994271266546326,1,10000,0.005
4,0,28.0,0,0.00023350000265054405,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",geometric,10,0.99,0.001,9.999976532493053,10,10000,
5,10000,0.0,1276,0.3273777999856975,"[4, 1, 3, 2, 0, 3, 2, 1, 2, 4, 2, 2, 0, 4, 4, 3, 1, 1, 3, 0, 1, 1, 4, 2, 4, 1, 1, 3, 0, 4, 2, 4, 3, 3, 4, 0, 0, 2, 4, 0, 0, 1, 0, 3, 1, 0, 2, 3, 3, 1]",geometric,10,0.99,0.001,9.967151501224777,10,10000,
6,0,28.0,0,0.00020490001770667732,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",exponential,10,,0.001,9.999989755004362,10,10000,0.005
7,10000,0.0,1336,0.2962212999991607,"[0, 4, 2, 1, 3, 3, 0, 1, 3, 4, 2, 4, 3, 1, 2, 4, 4, 2, 4, 1, 0, 2, 2, 3, 4, 1, 1, 0, 2, 1, 2, 3, 4, 0, 2, 3, 3, 4, 2, 2, 3, 4, 0, 1, 1, 2, 3, 0, 2, 1]",exponential,10,,0.001,9.985199897969254,10,10000,0.005
8,0,28.0,0,0.00020619999850168824,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",geometric,25,0.99,0.001,24.999948190572734,25,10000,
9,10000,0.0,1207,0.2722077999787871,"[4, 1, 0, 3, 4, 3, 1, 1, 4, 2, 2, 0, 3, 4, 2, 0, 0, 1, 3, 0, 1, 4, 2, 1, 2, 2, 4, 3, 2, 2, 0, 2, 3, 1, 2, 4, 2, 3, 0, 0, 3, 1, 1, 0, 4, 0, 3, 1, 3, 0]",geometric,25,0.99,0.001,24.931698975588475,25,10000,
10,0,28.0,0,0.00022499999613501132,"[3, 4, 2, 4, 4, 1, 2, 2, 2, 4, 3, 2, 4, 1, 3, 1, 3, 4, 0, 3, 1, 4, 3, 0, 0, 2, 2, 1, 3, 3, 2, 3, 3, 0, 2, 4, 2, 4, 0, 1, 3, 0, 3, 1, 1, 0, 1, 4, 1, 3]",exponential,25,,0.001,24.999971875016303,25,10000,0.005
11,10000,0.0,1559,0.3806789999944158,"[0, 3, 2, 0, 3, 3, 1, 1, 3, 2, 3, 2, 2, 0, 2, 1, 3, 1, 0, 2, 0, 0, 2, 4, 1, 1, 0, 1, 1, 4, 2, 2, 2, 4, 0, 2, 4, 3, 4, 0, 1, 1, 4, 3, 3, 4, 4, 4, 2, 0]",exponential,25,,0.001,24.952460382688297,25,10000,0.005
