,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
0,0.0,18.0,0,0.0004013000000213651,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",geometric,1,0.99,0.001,0.9999959668083551,1,10000,
1,250.0,3.0,418,0.08196470000007139,"[4, 10, 6, 8, 11, 10, 9, 0, 6, 8, 10, 9, 10, 7, 7, 9, 4, 10, 10, 1, 9, 11, 7, 1, 7, 4, 1, 10, 9, 0, 2, 1, 0, 2, 6, 3, 7, 2, 1, 11, 7, 9, 1, 9, 4, 8, 5, 9, 11, 11, 3, 7, 4, 7, 10, 2, 1, 3, 2, 5, 9, 0, 0, 9, 0, 7, 8, 10, 6, 6, 7, 6, 10, 10, 5, 8, 9, 5, 10, 8, 11, 10, 9, 2, 6, 9, 11, 4, 1, 4, 1, 3, 10, 5, 3, 8, 11, 1, 7, 6]",geometric,1,0.99,0.001,0.9991765664445007,1,10000,
2,1000.0,0.0,764,0.17555749999996806,"[7, 3, 2, 6, 10, 2, 0, 2, 2, 9, 6, 4, 8, 2, 8, 3, 7, 10, 3, 1, 10, 4, 7, 1, 6, 3, 4, 10, 0, 2, 2, 10, 0, 1, 6, 4, 4, 9, 1, 2, 7, 1, 8, 1, 5, 7, 8, 7, 3, 1, 4, 3, 6, 7, 1, 8, 5, 3, 2, 1, 11, 5, 11, 6, 0, 3, 11, 11, 6, 4, 0, 6, 0, 11, 8, 10, 9, 5, 6, 5, 11, 8, 10, 5, 6, 10, 7, 2, 9, 9, 0, 10, 7, 8, 5, 8, 6, 11, 2, 6]",geometric,1,0.99,0.001,0.998237143822888,1,10000,
3,2500.0,0.0,764,0.17555749999996806,"[7, 3, 2, 6, 10, 2, 0, 2, 2, 9, 6, 4, 8, 2, 8, 3, 7, 10, 3, 1, 10, 4, 7, 1, 6, 3, 4, 10, 0, 2, 2, 10, 0, 1, 6, 4, 4, 9, 1, 2, 7, 1, 8, 1, 5, 7, 8, 7, 3, 1, 4, 3, 6, 7, 1, 8, 5, 3, 2, 1, 11, 5, 11, 6, 0, 3, 11, 11, 6, 4, 0, 6, 0, 11, 8, 10, 9, 5, 6, 5, 11, 8, 10, 5, 6, 10, 7, 2, 9, 9, 0, 10, 7, 8, 5, 8, 6, 11, 2, 6]",geometric,1,0.99,0.001,0.998237143822888,1,10000,
4,10000.0,0.0,764,0.17555749999996806,"[7, 3, 2, 6, 10, 2, 0, 2, 2, 9, 6, 4, 8, 2, 8, 3, 7, 10, 3, 1, 10, 4, 7, 1, 6, 3, 4, 10, 0, 2, 2, 10, 0, 1, 6, 4, 4, 9, 1, 2, 7, 1, 8, 1, 5, 7, 8, 7, 3, 1, 4, 3, 6, 7, 1, 8, 5, 3, 2, 1, 11, 5, 11, 6, 0, 3, 11, 11, 6, 4, 0, 6, 0, 11, 8, 10, 9, 5, 6, 5, 11, 8, 10, 5, 6, 10, 7, 2, 9, 9, 0, 10, 7, 8, 5, 8, 6, 11, 2, 6]",geometric,1,0.99,0.001,0.998237143822888,1,10000,
5,0.0,18.0,0,0.0003816000000824715,"[6, 3, 10, 7, 4, 6, 9, 2, 6, 10, 10, 7, 4, 3, 7, 7, 2, 5, 4, 1, 7, 11, 5, 1, 11, 4, 0, 11, 9, 5, 11, 8, 0, 10, 10, 9, 11, 11, 2, 11, 6, 3, 8, 2, 4, 2, 6, 4, 8, 6, 1, 3, 8, 11, 1, 9, 8, 9, 4, 1, 3, 11, 11, 6, 11, 7, 2, 0, 3, 1, 7, 3, 1, 5, 5, 9, 3, 5, 1, 9, 11, 1, 9, 3, 7, 6, 11, 8, 7, 4, 1, 4, 7, 9, 8, 11, 11, 11, 8, 0]",exponential,1,,0.001,0.9999980920018198,1,10000,0.005
6,250.0,4.0,428,0.0865668999999798,"[8, 10, 7, 8, 11, 10, 8, 0, 6, 8, 10, 9, 8, 7, 0, 9, 3, 10, 10, 0, 7, 11, 6, 10, 11, 2, 2, 10, 9, 0, 2, 1, 0, 2, 6, 3, 7, 8, 0, 11, 7, 9, 1, 9, 4, 8, 0, 9, 11, 0, 3, 8, 10, 7, 10, 2, 1, 1, 3, 5, 3, 3, 9, 0, 2, 7, 10, 0, 3, 6, 7, 6, 1, 10, 5, 9, 9, 8, 10, 6, 11, 10, 9, 2, 1, 11, 10, 4, 1, 6, 1, 3, 10, 10, 8, 7, 0, 1, 6, 9]",exponential,1,,0.001,0.9995672591593389,1,10000,0.005
7,1000.0,0.0,716,0.17000980000011623,"[8, 5, 2, 8, 11, 2, 0, 2, 6, 9, 3, 9, 1, 2, 1, 3, 10, 10, 10, 1, 7, 4, 6, 5, 11, 4, 4, 10, 0, 2, 2, 3, 0, 1, 3, 4, 8, 9, 8, 4, 7, 9, 8, 2, 5, 11, 5, 7, 11, 0, 4, 8, 10, 4, 6, 2, 1, 1, 9, 1, 3, 5, 11, 6, 4, 6, 8, 6, 3, 7, 0, 6, 9, 10, 8, 6, 9, 8, 4, 5, 11, 8, 10, 2, 1, 10, 7, 8, 0, 6, 1, 10, 7, 5, 4, 7, 7, 2, 2, 11]",exponential,1,,0.001,0.9991503121893005,1,10000,0.005
8,2500.0,0.0,716,0.17000980000011623,"[8, 5, 2, 8, 11, 2, 0, 2, 6, 9, 3, 9, 1, 2, 1, 3, 10, 10, 10, 1, 7, 4, 6, 5, 11, 4, 4, 10, 0, 2, 2, 3, 0, 1, 3, 4, 8, 9, 8, 4, 7, 9, 8, 2, 5, 11, 5, 7, 11, 0, 4, 8, 10, 4, 6, 2, 1, 1, 9, 1, 3, 5, 11, 6, 4, 6, 8, 6, 3, 7, 0, 6, 9, 10, 8, 6, 9, 8, 4, 5, 11, 8, 10, 2, 1, 10, 7, 8, 0, 6, 1, 10, 7, 5, 4, 7, 7, 2, 2, 11]",exponential,1,,0.001,0.9991503121893005,1,10000,0.005
9,10000.0,0.0,716,0.17000980000011623,"[8, 5, 2, 8, 11, 2, 0, 2, 6, 9, 3, 9, 1, 2, 1, 3, 10, 10, 10, 1, 7, 4, 6, 5, 11, 4, 4, 10, 0, 2, 2, 3, 0, 1, 3, 4, 8, 9, 8, 4, 7, 9, 8, 2, 5, 11, 5, 7, 11, 0, 4, 8, 10, 4, 6, 2, 1, 1, 9, 1, 3, 5, 11, 6, 4, 6, 8, 6, 3, 7, 0, 6, 9, 10, 8, 6, 9, 8, 4, 5, 11, 8, 10, 2, 1, 10, 7, 8, 0, 6, 1, 10, 7, 5, 4, 7, 7, 2, 2, 11]",exponential,1,,0.001,0.9991503121893005,1,10000,0.005
