,Iteration,Time,Fitness,FEvals,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.00660649998462759,534.0,250.0,True,250.0,0.25,2500
1,1,0.03919759998098016,739.0,502.0,True,250.0,0.25,2500
2,2,0.06575689997407608,771.0,754.0,True,250.0,0.25,2500
3,3,0.09196599997812882,829.0,1006.0,True,250.0,0.25,2500
4,4,0.11818709998624399,829.0,1257.0,True,250.0,0.25,2500
5,5,0.14408969998476095,833.0,1509.0,True,250.0,0.25,2500
6,6,0.16991239998606034,843.0,1761.0,True,250.0,0.25,2500
7,7,0.19484729997930117,846.0,2013.0,True,250.0,0.25,2500
8,8,0.21969559998251498,846.0,2264.0,True,250.0,0.25,2500
9,9,0.24400469998363405,849.0,2516.0,True,250.0,0.25,2500
10,10,0.2682294999831356,849.0,2767.0,True,250.0,0.25,2500
11,11,0.2988226999877952,849.0,3018.0,True,250.0,0.25,2500
12,12,0.33304599998518825,849.0,3269.0,True,250.0,0.25,2500
13,13,0.3667225999815855,849.0,3520.0,True,250.0,0.25,2500
14,14,0.40059209999162704,849.0,3771.0,True,250.0,0.25,2500
15,15,0.4341955999843776,849.0,4022.0,True,250.0,0.25,2500
16,16,0.4677450000017416,849.0,4273.0,True,250.0,0.25,2500
17,17,0.5012207999825478,849.0,4524.0,True,250.0,0.25,2500
18,18,0.5347250999766402,849.0,4775.0,True,250.0,0.25,2500
19,19,0.5682334000011906,849.0,5026.0,True,250.0,0.25,2500
20,20,0.6017139999894425,849.0,5277.0,True,250.0,0.25,2500
21,21,0.6352366999781225,849.0,5528.0,True,250.0,0.25,2500
22,22,0.6690309999976307,849.0,5779.0,True,250.0,0.25,2500
23,23,0.702565899991896,849.0,6030.0,True,250.0,0.25,2500
24,24,0.7359816999814939,849.0,6281.0,True,250.0,0.25,2500
25,25,0.7697138999938034,849.0,6532.0,True,250.0,0.25,2500
26,26,0.803420099982759,849.0,6783.0,True,250.0,0.25,2500
27,27,0.8368327999778558,849.0,7034.0,True,250.0,0.25,2500
28,28,0.8705216999805998,849.0,7285.0,True,250.0,0.25,2500
29,29,0.9040705999941565,849.0,7536.0,True,250.0,0.25,2500
30,30,0.9379030999843962,849.0,7787.0,True,250.0,0.25,2500
31,31,0.9717411999881733,849.0,8038.0,True,250.0,0.25,2500
32,32,1.0053712999797426,849.0,8289.0,True,250.0,0.25,2500
33,33,1.0415358999744058,849.0,8540.0,True,250.0,0.25,2500
34,34,1.0756251999991946,849.0,8791.0,True,250.0,0.25,2500
35,35,1.1094785999739543,849.0,9042.0,True,250.0,0.25,2500
36,36,1.1433614999987185,849.0,9293.0,True,250.0,0.25,2500
37,37,1.1784794999985024,849.0,9544.0,True,250.0,0.25,2500
38,38,1.2119971999782138,849.0,9795.0,True,250.0,0.25,2500
39,39,1.2462576999969315,849.0,10046.0,True,250.0,0.25,2500
40,40,1.2809857999964152,849.0,10297.0,True,250.0,0.25,2500
